MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Temp,Pressure,RainTomorrow
13.4,22.9,W,44.0,71.0,22.0,1007.7,No
7.4,25.1,WNW,44.0,44.0,25.0,1010.6,No
12.9,25.7,WSW,46.0,38.0,30.0,1007.6,No
9.2,28.0,NE,24.0,45.0,16.0,1017.6,No
17.5,32.3,W,41.0,82.0,33.0,1010.8,No
14.6,29.7,WNW,56.0,55.0,23.0,1009.2,No
14.3,25.0,W,50.0,49.0,19.0,1009.6,No
7.7,26.7,W,35.0,48.0,19.0,1013.4,No
9.7,31.9,NNW,80.0,42.0,9.0,1008.9,Yes
13.1,30.1,W,28.0,58.0,27.0,1007.0,No
13.4,30.4,N,30.0,48.0,22.0,1011.8,Yes
12.6,21.0,SW,44.0,65.0,43.0,1001.2,No
9.8,27.7,WNW,50.0,50.0,28.0,1013.4,No
11.2,22.5,SSE,43.0,47.0,32.0,1009.4,No
9.8,25.6,SSE,26.0,45.0,26.0,1019.2,No
11.5,29.3,S,24.0,56.0,28.0,1019.3,No
17.1,33.0,NE,43.0,38.0,28.0,1013.6,No
20.5,31.8,WNW,41.0,54.0,24.0,1007.8,No
15.3,30.9,N,33.0,55.0,23.0,1011.0,No
12.6,32.4,W,43.0,49.0,17.0,1012.9,No
16.2,33.9,WSW,35.0,45.0,19.0,1010.9,No
16.9,33.0,WSW,57.0,41.0,28.0,1006.8,No
20.1,32.7,WNW,48.0,56.0,15.0,1005.2,No
19.7,27.2,WNW,46.0,49.0,22.0,1004.8,Yes
12.0,24.4,W,39.0,48.0,28.0,1006.1,No
11.3,26.5,WNW,56.0,46.0,26.0,1004.5,No
9.6,23.9,W,41.0,44.0,22.0,1014.4,No
10.5,28.8,SSE,26.0,43.0,22.0,1018.7,No
12.3,34.6,WNW,37.0,41.0,12.0,1015.1,No
12.9,35.8,WNW,41.0,41.0,9.0,1012.6,No
13.7,37.9,W,52.0,33.0,8.0,1010.9,No
16.1,38.9,W,57.0,34.0,12.0,1007.0,No
14.0,28.3,W,48.0,43.0,15.0,1011.9,No
12.5,28.4,NE,37.0,38.0,16.0,1017.8,No
17.0,30.8,NE,37.0,36.0,24.0,1013.4,No
16.9,32.0,S,31.0,52.0,31.0,1009.9,No
17.3,34.7,SW,35.0,48.0,16.0,1014.1,No
17.2,37.7,NNW,35.0,51.0,19.0,1015.7,No
17.4,43.0,NW,39.0,40.0,8.0,1011.6,No
19.8,32.7,WNW,44.0,34.0,28.0,1008.4,No
14.9,26.7,SW,56.0,46.0,20.0,1014.1,No
10.5,28.4,SE,33.0,35.0,16.0,1019.7,No
11.3,32.2,WNW,28.0,34.0,17.0,1019.7,No
13.9,36.6,WNW,39.0,39.0,10.0,1015.8,No
18.6,39.9,NNW,61.0,36.0,21.0,1010.1,No
19.3,38.1,NNW,61.0,48.0,17.0,1009.6,No
